YearMonth,Adjusted close price on the first business day of the month
SP500,COTACAO:USD
1994-01,465.44000244140625
1994-02,479.6199951171875
1994-03,464.44000244140625
1994-04,438.9200134277344
1994-05,453.0199890136719
1994-06,457.6300048828125
1994-07,446.20001220703125
1994-08,461.010009765625
1994-09,473.1700134277344
1994-10,461.739990234375
1994-11,468.4200134277344
1994-12,448.9200134277344
1995-01,459.1099853515625
1995-02,470.3999938964844
1995-03,485.6499938964844
1995-04,501.8500061035156
1995-05,514.260009765625
1995-06,533.489990234375
1995-07,547.0900268554688
1995-08,559.6400146484375
1995-09,563.8400268554688
1995-10,581.719970703125
1995-11,584.219970703125
1995-12,606.97998046875
1996-01,620.72998046875
1996-02,638.4600219726562
1996-03,644.3699951171875
1996-04,653.72998046875
1996-05,654.5800170898438
1996-06,667.6799926757812
1996-07,675.8800048828125
1996-08,650.02001953125
1996-09,654.719970703125
1996-10,689.0800170898438
1996-11,703.77001953125
1996-12,756.5599975585938
1997-01,737.010009765625
1997-02,786.72998046875
1997-03,795.3099975585938
1997-04,759.6400146484375
1997-05,798.530029296875
1997-06,846.3599853515625
1997-07,891.030029296875
1997-08,947.1400146484375
1997-09,927.5800170898438
1997-10,955.4099731445312
1997-11,938.989990234375
1997-12,974.77001953125
1998-01,975.0399780273438
1998-02,1001.27001953125
1998-03,1047.699951171875
1998-04,1108.1500244140625
1998-05,1121.0
1998-06,1090.97998046875
1998-07,1148.56005859375
1998-08,1112.43994140625
1998-09,994.260009765625
1998-10,986.3900146484375
1998-11,1111.5999755859375
1998-12,1175.280029296875
1999-01,1228.0999755859375
1999-02,1273.0
1999-03,1236.1600341796875
1999-04,1293.719970703125
1999-05,1354.6300048828125
1999-06,1294.260009765625
1999-07,1380.9599609375
1999-08,1328.050048828125
1999-09,1331.0699462890625
1999-10,1282.81005859375
1999-11,1354.1199951171875
1999-12,1397.719970703125
2000-01,1455.219970703125
2000-02,1409.280029296875
2000-03,1379.18994140625
2000-04,1505.969970703125
2000-05,1468.25
2000-06,1448.81005859375
2000-07,1469.5400390625
2000-08,1438.0999755859375
2000-09,1520.77001953125
2000-10,1436.22998046875
2000-11,1421.219970703125
2000-12,1315.22998046875
2001-01,1283.27001953125
2001-02,1373.469970703125
2001-03,1241.22998046875
2001-04,1145.8699951171875
2001-05,1266.43994140625
2001-06,1260.6700439453125
2001-07,1236.719970703125
2001-08,1215.9300537109375
2001-09,1132.93994140625
2001-10,1038.550048828125
2001-11,1084.0999755859375
2001-12,1129.9000244140625
2002-01,1154.6700439453125
2002-02,1122.199951171875
2002-03,1131.780029296875
2002-04,1146.5400390625
2002-05,1086.4599609375
2002-06,1040.6800537109375
2002-07,968.6500244140625
2002-08,884.6599731445312
2002-09,878.02001953125
2002-10,847.9099731445312
2002-11,900.9600219726562
2002-12,934.530029296875
2003-01,909.030029296875
2003-02,860.3200073242188
2003-03,834.8099975585938
2003-04,858.47998046875
2003-05,916.2999877929688
2003-06,967.0
2003-07,982.3200073242188
2003-08,980.1500244140625
2003-09,1021.989990234375
2003-10,1018.219970703125
2003-11,1059.02001953125
2003-12,1070.1199951171875
2004-01,1108.47998046875
2004-02,1135.260009765625
2004-03,1155.969970703125
2004-04,1132.1700439453125
2004-05,1117.489990234375
2004-06,1121.199951171875
2004-07,1128.93994140625
2004-08,1106.6199951171875
2004-09,1105.9100341796875
2004-10,1131.5
2004-11,1130.510009765625
2004-12,1191.3699951171875
2005-01,1202.0799560546875
2005-02,1189.4100341796875
2005-03,1210.4100341796875
2005-04,1172.9200439453125
2005-05,1162.1600341796875
2005-06,1202.219970703125
2005-07,1194.43994140625
2005-08,1235.3499755859375
2005-09,1221.5899658203125
2005-10,1226.699951171875
2005-11,1202.760009765625
2005-12,1264.6700439453125
2006-01,1268.800048828125
2006-02,1282.4599609375
2006-03,1291.239990234375
2006-04,1297.81005859375
2006-05,1305.18994140625
2006-06,1285.7099609375
2006-07,1280.18994140625
2006-08,1270.9200439453125
2006-09,1311.010009765625
2006-10,1331.3199462890625
2006-11,1367.81005859375
2006-12,1396.7099609375
2007-01,1416.5999755859375
2007-02,1445.93994140625
2007-03,1403.1700439453125
2007-04,1424.550048828125
2007-05,1486.300048828125
2007-06,1536.3399658203125
2007-07,1519.4300537109375
2007-08,1465.81005859375
2007-09,1489.4200439453125
2007-10,1547.0400390625
2007-11,1508.43994140625
2007-12,1472.4200439453125
2008-01,1447.1600341796875
2008-02,1395.4200439453125
2008-03,1331.3399658203125
2008-04,1370.1800537109375
2008-05,1409.3399658203125
2008-06,1385.6700439453125
2008-07,1284.9100341796875
2008-08,1260.31005859375
2008-09,1277.5799560546875
2008-10,1161.06005859375
2008-11,966.2999877929688
2008-12,816.2100219726562
2009-01,931.7999877929688
2009-02,825.4400024414062
2009-03,700.8200073242188
2009-04,811.0800170898438
2009-05,877.52001953125
2009-06,942.8699951171875
2009-07,923.3300170898438
2009-08,1002.6300048828125
2009-09,998.0399780273438
2009-10,1029.8499755859375
2009-11,1042.8800048828125
2009-12,1108.8599853515625
2010-01,1132.989990234375
2010-02,1089.18994140625
2010-03,1115.7099609375
2010-04,1178.0999755859375
2010-05,1202.260009765625
2010-06,1070.7099609375
2010-07,1027.3699951171875
2010-08,1125.8599853515625
2010-09,1080.2900390625
2010-10,1146.239990234375
2010-11,1184.3800048828125
2010-12,1206.0699462890625
2011-01,1271.8699951171875
2011-02,1307.5899658203125
2011-03,1306.3299560546875
2011-04,1332.4100341796875
2011-05,1361.219970703125
2011-06,1314.550048828125
2011-07,1339.6700439453125
2011-08,1286.93994140625
2011-09,1204.4200439453125
2011-10,1099.22998046875
2011-11,1218.280029296875
2011-12,1244.5799560546875
2012-01,1277.06005859375
2012-02,1324.0899658203125
2012-03,1374.0899658203125
2012-04,1419.0400390625
2012-05,1405.8199462890625
2012-06,1278.0400390625
2012-07,1365.510009765625
2012-08,1375.3199462890625
2012-09,1404.93994140625
2012-10,1444.489990234375
2012-11,1427.5899658203125
2012-12,1409.4599609375
2013-01,1462.4200439453125
2013-02,1513.1700439453125
2013-03,1518.199951171875
2013-04,1562.1700439453125
2013-05,1582.699951171875
2013-06,1640.4200439453125
2013-07,1614.9599609375
2013-08,1706.8699951171875
2013-09,1639.77001953125
2013-10,1695.0
2013-11,1761.6400146484375
2013-12,1800.9000244140625
2014-01,1831.97998046875
2014-02,1741.8900146484375
2014-03,1845.72998046875
2014-04,1885.52001953125
2014-05,1883.6800537109375
2014-06,1924.969970703125
2014-07,1973.3199462890625
2014-08,1925.1500244140625
2014-09,2002.280029296875
2014-10,1946.1600341796875
2014-11,2017.81005859375
2014-12,2053.43994140625
2015-01,2058.199951171875
2015-02,2020.8499755859375
2015-03,2117.389892578125
2015-04,2059.68994140625
2015-05,2108.2900390625
2015-06,2111.72998046875
2015-07,2077.419921875
2015-08,2098.0400390625
2015-09,1913.8499755859375
2015-10,1923.8199462890625
2015-11,2104.050048828125
2015-12,2102.6298828125
2016-01,2012.6600341796875
2016-02,1939.3800048828125
2016-03,1978.3499755859375
2016-04,2072.780029296875
2016-05,2081.429931640625
2016-06,2099.330078125
2016-07,2102.949951171875
2016-08,2170.840087890625
2016-09,2170.860107421875
2016-10,2161.199951171875
2016-11,2111.719970703125
2016-12,2191.080078125
2017-01,2257.830078125
2017-02,2279.550048828125
2017-03,2395.9599609375
2017-04,2358.840087890625
2017-05,2388.330078125
2017-06,2430.06005859375
2017-07,2429.010009765625
2017-08,2476.35009765625
2017-09,2476.550048828125
2017-10,2529.1201171875
2017-11,2579.360107421875
2017-12,2642.219970703125
2018-01,2695.81005859375
2018-02,2821.97998046875
2018-03,2677.669921875
2018-04,2581.8798828125
2018-05,2654.800048828125
2018-06,2734.6201171875
2018-07,2726.7099609375
2018-08,2813.360107421875
2018-09,2896.719970703125
2018-10,2924.590087890625
2018-11,2740.3701171875
2018-12,2790.3701171875
2019-01,2510.030029296875
2019-02,2706.530029296875
2019-03,2803.68994140625
2019-04,2867.18994140625
2019-05,2923.72998046875
2019-06,2744.449951171875
2019-07,2964.330078125
2019-08,2953.56005859375
2019-09,2906.27001953125
2019-10,2940.25
2019-11,3066.909912109375
2019-12,3113.8701171875
2020-01,3257.85009765625
2020-02,3248.919921875
2020-03,3090.22998046875
2020-04,2470.5
2020-05,2830.7099609375
2020-06,3055.72998046875
2020-07,3115.860107421875
2020-08,3294.610107421875
2020-09,3526.64990234375
2020-10,3380.800048828125
2020-11,3310.239990234375
2020-12,3662.449951171875
2021-01,3700.64990234375
2021-02,3773.860107421875
2021-03,3901.820068359375
2021-04,4019.8701171875
2021-05,4192.66015625
2021-06,4202.0400390625
2021-07,4319.93994140625
2021-08,4387.16015625
2021-09,4524.08984375
2021-10,4357.0400390625
2021-11,4613.669921875
2021-12,4513.0400390625
2022-01,4796.56005859375
2022-02,4546.5400390625
2022-03,4306.259765625
2022-04,4545.85986328125
2022-05,4155.3798828125
2022-06,4101.22998046875
2022-07,3825.330078125
2022-08,4118.6298828125
2022-09,3966.85009765625
2022-10,3678.429931640625
2022-11,3856.10009765625
2022-12,4076.570068359375
2023-01,3824.139892578125
2023-02,4119.2099609375
2023-03,3951.389892578125
2023-04,4124.509765625
2023-05,4167.8701171875
2023-06,4221.02001953125
2023-07,4455.58984375
2023-08,4576.72998046875
2023-09,4515.77001953125
2023-10,4288.39013671875
2023-11,4237.85986328125
2023-12,4594.6298828125
2024-01,4742.830078125
2024-02,4906.18994140625
2024-03,5137.080078125
2024-04,5243.77001953125
2024-05,5018.39013671875
2024-06,5283.39990234375
2024-07,5475.08984375
2024-08,5446.68017578125
2024-09,5528.93017578125
2024-10,5708.75
2024-11,5728.7998046875
2024-12,6047.14990234375
2025-01,5868.5498046875
2025-02,5994.56982421875
2025-03,5849.72021484375
2025-04,5633.06982421875
2025-05,5604.14013671875
2025-06,5935.93994140625
2025-07,6198.009765625
